Manufacturer;Model;Applications;Thrust (dry);Thrust (wet);Thrust (cruise);Specific Fuel Consumption (dry);Specific Fuel Consumption (wet);Specific Fuel Consumption (cruise);Total Airflow;Overall Pressure Ratio;FPR;Bypass Ratio;Cruise Altitude;Spools Count;Fan Stages;Low-Pressure Compressor;High-Pressure Compressor;High-Pressure Turbine;Intermediate-Pressure Turbine;Low-Pressure Turbine;Fan Width;Length;Width/Diameter;Weight (dry);semicomma
CFM;CFM56-7B26/B1;;;-;;;-;;;;;;;2;1;3B;9;1;-;4;61;98,9;65;5.216;
CFM;CFM56-7B27;737-600/-800, 737-700/-900 (option);27.300;-;;0,38;-;;;28,9;;;;2;1;3B;9;1;-;4;61;98,9;65;5.216;
CFM;CFM56-7B27/2;;;-;;;-;;;;;;;2;1;3B;9;1;-;4;61;98,9;65;5.216;
CFM;CFM56-7B27/B1;;;-;;;-;;;;;;;2;1;3B;9;1;-;4;61;98,9;65;5.216;
CFM;CFM56-7B27/B3;;;-;;;-;;;;;;;2;1;3B;9;1;-;4;61;98,9;65;5.216;
CFM;CFM56-9;A316/A317 (A31X), BRJ-X, AE-100, N-2130 (not produced);20.000;-;;0,38;-;;;23,2;;;;2;1;2B;9;1;-;3;;91,7;56;4.252;
de Havilland;Ghost 50 Mk.1;Comet 1;5.000;-;;;-;;;;;;;;;;;;;;;;;;
de Havilland;Ghost 50 Mk.2;Comet 1A;5.020;-;;;-;;;;;;;;;;;;;;;;;;
Engine Alliance;GP7168;747-500X/-600X (not produced);68.000;-;;;-;;2000;42,3;;7;;2;1;3B;9;2;-;4;;169;99;11.500;
Engine Alliance;GP7172;767-400ERX, (not produced);71.000;-;;;-;;;;;;;2;1;3B;9;2;-;4;;;;;
Engine Alliance;GP7268;(cancelled);68.000;-;;;-;;;46;;8;;2;1;5B;9;2;-;6;;;;;
Engine Alliance;GP7270;A380-861;70.000;-;12.633;;-;;;45,6;;8,7;35.000;2;1;5B;9;2;-;6;116;187,1;124;;
Engine Alliance;GP7277;A380-863F;77.000;-;13.700;;-;;2600;45,6;;8,7;35.000;2;1;5B;9;2;-;6;116;187,1;124;13.300;
Garrett;ATF3;Sabreliner 60, HFB 330;4.050;-;;0,44;-;;140;17;;3;;3;1;5;1C;1;3;2;;;;;
Garrett;ATF3-6A;Falcon 200;5.200;-;;;-;;162;21,3;;2,8;;3;1;5;1C;1;3;2;;102;33,6;1.125;
Garrett;TFE731-2;Falcon 10, Learjet 31/31A, SA-28T;3.500;-;755;0,504;-;0,815;113;13;1,54;2,66;40.000;2;1G;1C;4;1;-;3;28,2;49,7;39,4;743;
Garrett;TFE731-2-2B;Learjet 35/36;3.500;-;;0,504;-;;113;13;1,54;2,66;;2;1G;1C;4;1;-;3;28,2;49,7;39,4;743;
Garrett;TFE731-2-2N;IA 63 NGA;;-;;;-;;;;;;;2;1G;1C;4;1;-;3;28,2;49,7;39,4;;
Garrett;TFE731-2A-2A;K-8E;;-;;;-;;;;;;;2;1G;1C;4;1;-;3;28,2;49,7;39,4;;
Garrett;TFE731-2C;;;-;;;-;;;;;;;2;1G;1C;4;1;-;3;28,2;49,7;39,4;;
Garrett;TFE731-3;JetStar II;3.700;-;817;0,511;-;0,819;118;14,6;2,8;2,8;40.000;2;1G;1C;4;1;-;3;28,2;49,7;39,4;754;
Garrett;TFE731-3-1D;Sabreliner 65;3.700;-;;;-;;118;14,6;2,8;2,8;;2;1G;1C;4;1;-;3;28,2;49,7;39,4;754;
Garrett;TFE731-3-1G;1124 Westwind;3.700;-;;;-;;118;14,6;2,8;2,8;;2;1G;1C;4;1;-;3;28,2;49,7;39,4;754;
Garrett;TFE731-3-1H;BAe HS 125-600F/-700B;3.700;-;;;-;;118;14,6;2,8;2,8;;2;1G;1C;4;1;-;3;28,2;49,7;39,4;754;
Garrett;TFE731-3-100S;Citation III;3.650;-;;;-;;118;14,6;2,8;2,8;;2;1G;1C;4;1;-;3;28,2;49,7;39,4;769;
Garrett;TFE731-3A-2B;Learjet 55B/55C/55C-LR;3.650;-;838;0,515;-;0,823;118;14,6;2,8;2,8;40.000;2;1G;1C;4;1;-;3;28,2;49,7;39,4;775;
Garrett;TFE731-3A-300G;Astra, Astra SP;3.650;-;;;-;;118;14,6;2,8;2,8;;2;1G;1C;4;1;-;3;28,2;49,7;39,4;775;
Garrett;TFE731-3AR;;;-;;;-;;;;;;;2;1G;1C;4;1;-;3;28,2;49,7;39,4;;
Garrett;TFE731-3B-100;Citation VI;3.650;-;844;0,507;-;0,816;118;14,4;2,8;2,8;40.000;2;1G;1C;4;1;-;3;28,2;49,7;39,4;750;
Garrett;TFE731-3BR;;;-;;;-;;;;;;;2;1G;1C;4;1;-;3;28,2;49,7;39,4;;
Garrett;TFE731-3C;;;-;;;-;;;;;;;2;1G;1C;4;1;-;3;28,2;49,7;39,4;;
Garrett;TFE731-3CR;;;-;;;-;;;;;;;2;1G;1C;4;1;-;3;28,2;49,7;39,4;;
Garrett;TFE731-3D;;;-;;;-;;;;;;;2;1G;1C;4;1;-;3;28,2;49,7;39,4;;
Garrett;TFE731-3DR;;;-;;;-;;;;;;;2;1G;1C;4;1;-;3;28,2;49,7;39,4;;
Garrett;TFE731-3R;;;-;;;-;;;;;;;2;1G;1C;4;1;-;3;28,2;49,7;39,4;;
Garrett;TFE731-4;Citation VII, Citation IV (not produced);4.080;-;929;0,517;-;0,796;;14,8;;2,4;40.000;2;1G;1C;4;1;-;3;28,2;51;39,4;822;
Garrett;TFE731-5;BAe HS 125-800, Sabreliner 85;4.304;-;955;0,484;-;0,802;143;14,4;3,48;3,65;40.000;2;1G;1C;4;1;-;3;29,7;54,7;40,5;852;
Garrett;TFE731-5A;;;-;;;-;;;;;;;2;1G;1C;4;1;-;3;;;;;
Garrett;TFE731-5AR;Falcon 900, Falcon 20RE;4.500;-;986;0,469;-;0,771;143;14,6;3,48;3,65;40.000;2;1G;1C;4;1;-;3;29,7;80,8;40,5;884;
Garrett;TFE731-5B;;;-;;;-;;;;;;;2;1G;1C;4;1;-;3;;;;;
Garrett (Allied-Signal);TFE731-5BR;Falcon 900B, Falcon 20RE, Hawker 800XP;4.750;-;1.052;0,47;-;0,756;143;15,1;3,48;3,5;40.000;2;1G;1C;4;1;-;3;29,7;80,8;40,5;899;
Garrett (Honeywell);TFE731-5BR-1C;Falcon 900C;4.750;-;;;-;;;;;;;2;1G;1C;4;1;-;3;29,7;80,8;40,5;899;
Garrett;TFE731-5R;;;-;;;-;;;;;;;2;1G;1C;4;1;-;3;;;;;
Garrett (AlliedSignal);TFE731-20;Learjet 45;3.500;-;876;0,441;-;0,728;123;21;3,7;3,1;40.000;2;1G;1C;4;1;-;3;28,2;51;39,4;885;
Garrett (Honeywell);TFE731-20AR;Learjet 40;3.500;-;;;-;;;;;;;2;1G;1C;4;1;-;3;28,2;51;39,4;;
Garrett (Honeywell);TFE731-20BR;Learjet 40XR/45XR;3.500;-;;;-;;;;;;;2;1G;1C;4;1;-;3;28,2;51;39,4;;
Garrett (AlliedSignal);TFE731-20R;;;-;;;-;;;;;;;2;1G;1C;4;1;-;3;28,2;51;39,4;;
Garrett (AlliedSignal);TFE731-40;Falcon 50EX, Hawker 450;4.250;-;;0,457;-;;145;22;;2,9;;2;1G;1C;4;1;-;3;28,2;51;39,4;885;
Garrett (AlliedSignal);TFE731-40R;G100 (Astra SP), G150 (Astra SPX), IA 63 NGB;4.250;-;;;-;;;;;;;2;1G;1C;4;1;-;3;28,2;51;39,4;;
Garrett (Honeywell);TFE731-40AR-200G;G150;4.420;-;;;-;;;;;;;2;1G;1C;4;1;-;3;28,2;51;39,4;;
Garrett (AlliedSignal);TFE731-60;Falcon 900EX;5.000;-;;0,405;-;;187;22;;3,9;;2;1G;1C;4;1;-;3;30,7;72;42,4;988;
GE;CF6-6;DC-10-10 (option);40.000;-;;;-;;1343;26,6;1,64;6,2;;2;1;1B;16;2;-;5;;172,5;92;7.350;
GE;CF6-6D;DC-10-10/-10F/-10F(CF);40.000;-;9.080;0,354;-;0,646;1303;24,3;;5,72;35.000;2;1;1B;16;2;-;5;86,4;188.0**;105;7.896;
GE;CF6-6D1;DC-10-10/-10F/-10F(AF);41.500;-;9.220;0,35;-;0,646;1328;25,2;;5,76;35.000;2;1;1B;16;2;-;5;86,4;188.0**;105;7.896;
GE;CF6-6D1A;DC-10-10/-10F/-10F(AF);41.500;-;9.220;0,35;-;0,646;1328;25,2;;5,76;35.000;2;1;1B;16;2;-;5;86,4;188.0**;105;7.896;
GE;CF6-6E;DC-10-10/-10F (option);40.600;-;;;-;;;;;;;2;1;1B;16;2;-;5;86,4;;;;
GE;CF6-6F;DC-10-10/-10F (option);42.000;-;;;-;;;;;;;2;1;1B;16;2;-;5;86,4;;;;
GE;CF6-6K;DC-10-10/-10F;41.500;-;;0,346;-;;;25;;;;2;1;1B;16;2;-;5;86,4;188.0**;105;8.176;
GE;CF6-6K2;DC-10-10/-10F (option);41.500;-;;0,346;-;;;25;;;;2;1;1B;16;2;-;5;86,4;188.0**;105;8.176;
GE;CF6-45A;747-100SR/-100SR(SF);46.500;-;11.250;;-;0,63;1393;26,3;;4,64;35.000;2;1;3B;14;2;-;4;86,4;188.0**;105;8.768;
GE;CF6-45A2;747-100SR/-100SR(SF);46.500;-;11.250;;-;0,63;1393;26,3;;4,64;35.000;2;1;3B;14;2;-;4;86,4;188.0**;105;8.768;
GE;CF6-45B;747-100SR/-100SR(SF);46.500;-;11.250;;-;0,63;1393;26,3;;4,64;35.000;2;1;3B;14;2;-;4;86,4;188.0**;105;8.768;
GE;CF6-45B2;747-100SR/-100SR(SF), A300B10 (A310) (candidate engine);46.500;-;11.250;;-;0,63;1393;26,3;;4,64;35.000;2;1;3B;14;2;-;4;86,4;188.0**;105;8.768;
GE;CF6-50;DC-10-30/-30F;49.000;-;;;-;0,645;;;;;35.000;2;1;3B;14;2;-;4;92;;;8.100;
GE;CF6-50A;DC-10-30/-30F, A300B1, A300B2-1A;49.000;-;;0,389;-;0,654;1444;28,6;1,69;4,4;35.000;2;1;3B;14;2;-;4;86,4;183.0**;92;8.201;
GE;CF6-50B;;49.000;-;;0,389;-;0,654;1444;28,6;1,69;4,4;35.000;2;1;3B;14;2;-;4;86,4;183.0**;92;8.201;
GE;CF6-50C;A300B1, A300B2-1C/-101, A300B4-2C/-203, DC-10-30/-30CF/-30F;51.000;-;11.100;0,394;-;0,657;1451;29,3;;4,26;35.000;2;1;3B;14;2;-;4;86,4;183.0**;105;8.721;
GE;CF6-50C1;DC-10-30, A300B2-202, A300B4-102;52.500;-;11.555;0,371;-;0,657;1470;30,1;;4,24;35.000;2;1;3B;14;2;-;4;86,4;183.0**;105;8.721;
GE;CF6-50C2;A300B2-203, A300B4-103/-103F/-2C/-203/-203F, A300C4-203, A300F4-203, DC-10-30/-30F/-30F(CF), A300B1 (option);52.500;-;11.555;0,371;-;0,63;1476;30,4;;4,31;35.000;2;1;3B;14;2;-;4;86,4;183.0**;105;8.731;
